source,cluster_id,threshold,area_km2,prob_max,prob_mean,centroid_x,centroid_y,dist_to_known_m,n_known_inside,score_size,score_discovery,val_vtt_r100,val_rel_vis,val_dist_rijeka,val_strahler,val_aps_vis,pred_prob_mean_feat,shap_vtt_r100,shap_rel_vis_100_250,shap_dist_rijeka_korig,shap_strahler,shap_aps_vis
thr85_all,875,0.85,0.035,0.8826,0.868,658697.32,5027106.25,2506.01,0,0.030382,6.907888,Cambisols,1.42,192.4,1,101.0,0.8706,0.12792,0.08111,0.13342,0.01808,0.01132
thr85_all,876,0.85,0.0206,0.8905,0.8636,648570.83,5027050.38,2437.18,0,0.017811,6.94486,Cambisols,2.055,278.0,1,108.9,0.8722,0.12061,0.08617,0.10574,0.01218,0.04876
thr85_all,877,0.85,0.01,0.8796,0.866,688109.38,5027025.0,596.02,0,0.00866,5.622567,Cambisols,1.056,144.0,2,87.3,0.8609,0.13469,0.04654,0.12399,0.02542,0.03155
thr85_all,878,0.85,0.0106,0.8903,0.8651,624278.68,5026986.03,1981.41,0,0.009191,6.759202,Cambisols,6.974,278.1,1,174.2,0.8646,0.07092,0.15368,0.13061,0.00189,0.00881
thr85_all,879,0.85,0.0375,0.879,0.8658,682077.08,5026710.0,2020.15,0,0.032466,6.690064,Cambisols,1.144,138.9,2,87.4,0.8618,0.13195,0.05182,0.12459,0.02729,0.02742
thr85_all,880,0.85,0.0625,0.9215,0.8906,695954.0,5026794.75,830.27,0,0.055664,6.195462,Cambisols,2.938,160.5,3,87.4,0.8953,0.14193,0.0744,0.10957,0.04579,0.02489
thr85_all,881,0.85,0.0131,0.8758,0.8639,683593.45,5026939.88,2702.95,0,0.011339,6.921235,Cambisols,1.158,131.1,2,87.6,0.8651,0.12881,0.05296,0.12633,0.0272,0.03105
thr85_all,882,0.85,0.02,0.8762,0.8596,688820.31,5026948.44,128.79,0,0.017192,4.263345,Cambisols,-1.254,116.9,2,82.0,0.857,0.16797,-0.01882,0.13895,0.03355,0.03665
thr85_all,883,0.85,0.02,0.8664,0.8627,561700.0,5026882.03,8211.5,0,0.017254,7.809389,Cambisols,19.81,629.3,1,557.3,0.8614,0.06241,0.25524,0.05971,0.00885,-0.02352
thr85_all,884,0.85,0.0187,0.8902,0.8701,659081.67,5026885.0,2864.6,0,0.016315,7.08625,Cambisols,1.665,196.0,1,101.3,0.8748,0.12926,0.07857,0.13666,0.01653,0.01508
thr85_all,885,0.85,0.0106,0.8651,0.8571,688391.91,5026874.26,374.4,0,0.009107,5.128406,Cambisols,-1.111,111.3,2,82.0,0.8565,0.17732,-0.02696,0.14252,0.03348,0.03139
thr85_all,886,0.85,0.0112,0.8807,0.8675,687983.33,5026787.5,777.65,0,0.00976,5.863167,Cambisols,0.975,142.1,2,87.4,0.8657,0.13363,0.05095,0.12109,0.02658,0.0347
thr85_all,887,0.85,0.0175,0.8732,0.8626,683880.36,5026844.64,2797.9,0,0.015095,6.930218,Cambisols,1.287,130.3,2,87.9,0.8704,0.13656,0.05333,0.12684,0.02736,0.02754
thr85_all,888,0.85,0.0187,0.8664,0.8617,560466.67,5026746.67,8556.72,0,0.016156,7.845065,Cambisols,20.055,612.3,1,606.6,0.8592,0.05989,0.25518,0.05936,0.00893,-0.0229
thr85_all,889,0.85,0.0181,0.9085,0.8774,625036.64,5026707.33,2256.3,0,0.015902,7.015574,Cambisols,8.742,204.0,1,177.6,0.8843,0.07786,0.1903,0.12718,0.00317,-0.01295
thr85_all,890,0.85,0.0319,0.8756,0.863,683556.62,5026681.62,2470.12,0,0.027509,6.840583,Cambisols,-1.361,92.7,2,83.1,0.8623,0.16295,-0.00722,0.126,0.03513,0.04669
thr85_all,891,0.85,0.0462,0.8814,0.8604,688055.07,5026423.99,924.06,0,0.039795,6.019778,Cambisols,-1.269,95.0,2,82.6,0.8552,0.15995,-0.00717,0.12895,0.03512,0.03964
thr85_all,892,0.85,0.0206,0.8712,0.8591,689603.41,5026605.68,916.12,0,0.017718,5.942637,Cambisols,-1.071,122.4,2,82.1,0.8398,0.1729,-0.02881,0.13872,0.03277,0.02551
thr85_all,893,0.85,0.0213,0.8706,0.8616,585361.03,5026634.56,5704.3,0,0.01831,7.530082,Luvisols,13.135,305.5,2,239.3,0.8706,0.03802,0.26993,0.07599,0.00479,-0.01684
thr85_all,894,0.85,0.0275,0.8774,0.8626,657873.86,5026632.95,2811.7,0,0.023722,6.968207,Cambisols,1.423,182.3,1,103.5,0.8704,0.12828,0.07748,0.13614,0.01512,0.01463
thr85_all,895,0.85,0.0163,0.8846,0.8652,684372.12,5026647.12,2852.61,0,0.01406,7.038122,Cambisols,1.295,132.8,2,87.3,0.8641,0.13546,0.05107,0.12608,0.02685,0.02593
thr85_all,896,0.85,0.0375,0.8765,0.8637,688321.67,5026487.92,706.77,0,0.032389,5.751813,Cambisols,1.424,138.5,2,85.9,0.8702,0.13652,0.04984,0.12489,0.02827,0.03198
thr85_all,897,0.85,0.04,0.8728,0.8604,691896.48,5026715.23,2029.46,0,0.034415,6.647517,Cambisols,-1.177,112.9,2,83.4,0.8581,0.16687,-0.02724,0.14303,0.03452,0.04222
thr85_all,898,0.85,0.0163,0.9052,0.8838,693875.96,5026703.85,50.25,1,0.014362,3.563397,Luvisols,7.811,1046.2,2,99.3,0.8833,0.08366,0.25706,-0.01844,0.02563,0.03664
thr85_all,899,0.85,0.0238,0.915,0.9019,561436.18,5026586.18,8020.8,0,0.021421,8.226219,Cambisols,14.633,256.1,1,478.5,0.9004,0.06877,0.22582,0.11163,0.01147,-0.01605
thr85_all,900,0.85,0.0256,0.915,0.9046,561017.99,5026566.16,8159.98,0,0.023181,8.241959,Cambisols,15.423,216.8,1,481.0,0.9091,0.07284,0.22462,0.12423,0.01011,-0.02145
thr85_all,901,0.85,0.0106,0.925,0.8909,557194.85,5026602.21,10328.21,0,0.009465,8.549982,Cambisols,10.831,319.0,1,373.1,0.9116,0.07041,0.23121,0.11365,0.01176,-0.01417
thr85_all,902,0.85,0.0325,0.8736,0.8661,577996.15,5026572.12,2421.72,0,0.028148,6.807974,Cambisols,12.777,625.4,1,305.1,0.8686,0.06345,0.25789,0.05583,0.00868,-0.01594
thr85_all,903,0.85,0.02,0.8664,0.8598,557552.34,5026531.25,10033.62,0,0.017195,7.983005,Cambisols,19.154,643.1,1,442.1,0.8564,0.0614,0.2561,0.05911,0.00845,-0.02737
thr85_all,904,0.85,0.0431,0.8756,0.8609,684171.2,5026495.47,2751.04,0,0.037126,6.93456,Cambisols,-1.263,78.8,2,83.1,0.8698,0.16384,-0.00827,0.13399,0.03658,0.04489
thr85_all,905,0.85,0.055,0.915,0.8995,560583.81,5026407.95,8201.41,0,0.049471,8.246593,Cambisols,15.301,259.6,1,508.9,0.9096,0.07092,0.23027,0.11667,0.01176,-0.01873
thr85_all,906,0.85,0.0519,0.917,0.8915,696289.91,5026408.58,460.98,0,0.046244,5.626497,Cambisols,1.856,158.7,3,87.1,0.8964,0.15225,0.05619,0.11541,0.05238,0.0214
thr85_all,907,0.85,0.0194,0.8664,0.8615,561993.95,5026394.76,7657.61,0,0.016691,7.74889,Cambisols,18.195,611.4,1,558.5,0.8592,0.05989,0.25518,0.05936,0.00893,-0.0229
thr85_all,908,0.85,0.0238,0.8664,0.8618,559893.42,5026388.16,8517.72,0,0.020468,7.841108,Cambisols,21.437,625.8,1,598.3,0.8614,0.06241,0.25524,0.05971,0.00885,-0.02352
thr85_all,909,0.85,0.0156,0.915,0.8923,561695.5,5026389.5,7746.92,0,0.013943,8.194431,Cambisols,19.06,314.4,1,503.0,0.915,0.06985,0.23391,0.11343,0.01229,-0.01316
